ap;cnes;unidade;ine;desligados_60_med;desligados_60_enf;desligados_60_aux;desligados_60_acs;desligados_60_dent;desligados_60_aux_bucal;desligados_60_tec_bucal;tipo_equipe_id;medico ;medico_20 ;enfermeiro ;tec_aux ;acs ;cirurgiao ;aux_bucal ;tec_bucal ;tipo esf 1;tipo esf 2;tipo_esb
33;2269627;SMS CMS SYLVIO FREDERICO BRAUNER - AP 33;300861;0;1;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;0;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Enfermeiro(a) mais de 60 dias);
33;2269627;SMS CMS SYLVIO FREDERICO BRAUNER - AP 33;300888;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
21;2269651;SMS CMS DOM HELDER CAMARA - AP 21;300926;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;6;0;0;0;ESF Completa;;
21;2269651;SMS CMS DOM HELDER CAMARA - AP 21;300934;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;6;0;0;0;ESF Completa;;
33;2269732;SMS CMS CARMELA DUTRA - AP 33;300950;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;ESF Vacância Médico(a) 40h e ACS;;
33;2269732;SMS CMS CARMELA DUTRA - AP 33;300969;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;4;0;0;0;ESF Vacância Médico 20h;;
33;2269732;SMS CMS CARMELA DUTRA - AP 33;300977;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
33;2269759;SMS CMS FLAVIO DO COUTO VIEIRA - AP 33;300985;1;1;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;0;1;2;0;0;0;EACS Vacância Enfermeiro(a) 40h e ACS;ESF Incompleta 40h Médico(a) mais de 60 dias;
33;2269759;SMS CMS FLAVIO DO COUTO VIEIRA - AP 33;300993;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;2;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
32;2269805;SMS CMS MILTON FONTES MAGARAO - AP 32;301027;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
32;2269805;SMS CMS MILTON FONTES MAGARAO - AP 32;301035;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;6;0;0;0;ESF Completa;;
51;7810172;SMS CF SANDRA REGINA SAMPAIO DE SOUZA - AP 51;301078;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;3;0;0;0;ESF Vacância ACS;;
51;7810172;SMS CF SANDRA REGINA SAMPAIO DE SOUZA - AP 51;301086;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;5;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
51;7810172;SMS CF SANDRA REGINA SAMPAIO DE SOUZA - AP 51;301094;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
51;7810172;SMS CF SANDRA REGINA SAMPAIO DE SOUZA - AP 51;301108;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;4;0;0;0;ESF Vacância Médico 20h;;
51;7810172;SMS CF SANDRA REGINA SAMPAIO DE SOUZA - AP 51;301116;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
31;2269902;SMS CMS JOSE BREVES DOS SANTOS - AP 31;301140;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
31;2269902;SMS CMS JOSE BREVES DOS SANTOS - AP 31;301159;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;5;0;0;0;ESF Vacância Médico 20h;;
53;2269929;SMS CMS CATTAPRETA - AP 53;301167;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
53;2269929;SMS CMS CATTAPRETA - AP 53;301183;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
53;2269929;SMS CMS CATTAPRETA - AP 53;301191;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
40;2708213;SMS CMS HARVEY RIBEIRO DE SOUZA FILHO - AP 40;301205;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;4;0;0;0;0;0;0;ESF Vacância ACS, Tec/Aux 40h e Enfermeiro(a);;
40;2270013;SMS CMS CECILIA DONNANGELO - AP 40;301213;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;1;1;4;0;0;0;ESF Completa;;
40;2270013;SMS CMS CECILIA DONNANGELO - AP 40;301221;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
32;2296306;SMS RIO HOSPITAL MUNICIPAL SALGADO FILHO;301248;0;0;0;0;0;0;0;22-EMAD T1 - EQUIPE MULTIDISCIPLINAR DE AT. DOMICILIAR TIPO I;1;0;1;3;0;0;0;0;ESF Vacância ACS;;
21;2270072;SMS CMS DR ALBERT SABIN - AP 21;301256;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;3;1;3;0;0;0;ESF Vacância Médico(a) 40h e ACS;;
21;2270072;SMS CMS DR ALBERT SABIN - AP 21;301264;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;3;0;0;0;ESF Vacância ACS;;
21;2270072;SMS CMS DR ALBERT SABIN - AP 21;301272;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;3;1;3;0;0;0;ESF Vacância Médico(a) 40h e ACS;;
21;2270072;SMS CMS DR ALBERT SABIN - AP 21;301280;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;2;0;0;0;ESF Vacância ACS;;
21;2270072;SMS CMS DR ALBERT SABIN - AP 21;301299;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
21;2270072;SMS CMS DR ALBERT SABIN - AP 21;301302;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;3;1;4;0;0;0;ESF Completa;;
10;2270250;SMS CMS ERNESTO ZEFERINO TIBAU JR - AP 10;301418;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
10;2270250;SMS CMS ERNESTO ZEFERINO TIBAU JR - AP 10;301426;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;1;1;3;0;0;0;ESF Vacância ACS;;
10;9057706;SMS CF ESTIVADORES - AP 10;301434;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2270277;SMS CMS ALVIMAR DE CARVALHO - AP 52;301442;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;
52;2270277;SMS CMS ALVIMAR DE CARVALHO - AP 52;301450;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2269554;SMS CMS BELIZARIO PENNA - AP 52;301469;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
52;2270285;SMS CMS WOODROW PIMENTEL PANTOJA - AP 52;301477;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;2;4;0;0;0;ESF Vacância Médico 20h;;
52;2270285;SMS CMS WOODROW PIMENTEL PANTOJA - AP 52;301485;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2270293;SMS CMS RAUL BARROSO - AP 52;301493;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;1;0;0;0;0;0;0;ESF Vacância ACS, Tec/Aux 40h e Enfermeiro(a);;
52;2270293;SMS CMS RAUL BARROSO - AP 52;301507;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2270293;SMS CMS RAUL BARROSO - AP 52;301515;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;0;4;0;0;0;ESF Vacância Tec/Aux 40h;;
52;2270293;SMS CMS RAUL BARROSO - AP 52;301531;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;3;0;0;0;ESF Vacância ACS;;
52;2270307;SMS CMS MOURAO FILHO - AP 52;301558;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2270307;SMS CMS MOURAO FILHO - AP 52;301566;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;
52;2270315;SMS CMS MAIA BITTENCOURT - AP 52;301574;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2270315;SMS CMS MAIA BITTENCOURT - AP 52;301582;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;1;1;4;0;0;0;ESF Completa;;
52;2270315;SMS CMS MAIA BITTENCOURT - AP 52;301590;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2270315;SMS CMS MAIA BITTENCOURT - AP 52;301604;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;3567540;SMS CF ANA GONZAGA - AP 52;301612;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
52;9715444;SMS CF DRª MYRTES AMORELLI GONZAGA - AP 52;301620;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
52;2270323;SMS CMS ADAO PEREIRA NUNES - AP 52;301639;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;ESF Vacância Médico 40h;;
52;2270323;SMS CMS ADAO PEREIRA NUNES - AP 52;301647;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;2;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
52;3567540;SMS CF ANA GONZAGA - AP 52;301655;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;3;0;0;0;ESF Vacância ACS;;
52;2270366;SMS CMS MANOEL DE ABREU - AP 52;301671;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2270366;SMS CMS MANOEL DE ABREU - AP 52;301698;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;3;0;0;0;ESF Vacância ACS;;
52;2270366;SMS CMS MANOEL DE ABREU - AP 52;301701;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
51;2270420;SMS CMS WALDYR FRANCO - AP 51;301728;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;ESF Vacância Médico 40h;;
51;2270420;SMS CMS WALDYR FRANCO - AP 51;301736;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
51;2270420;SMS CMS WALDYR FRANCO - AP 51;301744;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;5;0;0;0;ESF Completa;;
51;2270420;SMS CMS WALDYR FRANCO - AP 51;301752;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;5;0;0;0;ESF Completa;;
51;2270552;SMS CMS SILVIO BARBOSA - AP 51;301760;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
51;7874162;SMS CF WILSON MELLO SANTOS ( ZICO) - AP51;301779;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
51;7874162;SMS CF WILSON MELLO SANTOS ( ZICO) - AP51;301795;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;0;1;3;0;0;0;EACS Vacância Enfermeiro(a) 40h e ACS;ESF Incompleta 40h Médico(a) mais de 60 dias;
51;7722494;SMS CF FAIM PEDRO - AP 51;301809;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
51;7722494;SMS CF FAIM PEDRO - AP 51;301817;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;5;0;0;0;ESF Completa;;
51;2270455;SMS CMS PADRE MIGUEL - AP 51;301825;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;5;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
51;2270455;SMS CMS PADRE MIGUEL - AP 51;301833;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
51;2270455;SMS CMS PADRE MIGUEL - AP 51;301841;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;0;5;0;0;0;ESF Vacância Médico 20h e Tec/Aux 40h;;
51;2270455;SMS CMS PADRE MIGUEL - AP 51;301868;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
51;2270463;SMS CMS ATHAYDE JOSE DA FONSECA - AP 51;301884;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;
31;9016805;SMS CF NILDA CAMPOS DE LIMA - AP 31;301892;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;
51;3416372;SMS CF ROSINO BACCARINI - AP 51;301914;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
51;2270463;SMS CMS ATHAYDE JOSE DA FONSECA - AP 51;301922;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
51;2270552;SMS CMS SILVIO BARBOSA - AP 51;301949;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;
51;2270552;SMS CMS SILVIO BARBOSA - AP 51;301957;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
51;7810172;SMS CF SANDRA REGINA SAMPAIO DE SOUZA - AP 51;301965;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;2;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
51;2270552;SMS CMS SILVIO BARBOSA - AP 51;301973;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
51;3820599;SMS CF ARMANDO PALHARES AGUINAGA - AP 51;301981;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
51;3416356;SMS CMS BUA BOANERGES BORGES DA FONSECA - AP 51;302015;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
51;2270560;SMS CMS MASAO GOTO - AP 51;302031;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;
51;2270560;SMS CMS MASAO GOTO - AP 51;302058;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;1;1;1;3;0;0;0;ESF Vacância ACS;;
